,category,id,item_nm,item_price,url,img_url
23,table,394078,로띠끄 대리석 소파 테이블 3colors (엑스자 다리),"158,000원",https://ohou.se/productions/394078/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159365181385640720.jpg?gif=1&w=480&h=480&c=c
24,table,702062,푸들 1200폭 소파테이블(L),"199,000원",https://ohou.se/productions/702062/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1613723708_103178_1.jpg?gif=1&w=480&h=480&c=c
25,table,217753,코코아 아카시아 원목 접이식 거실테이블 3size,"44,900원",https://ohou.se/productions/217753/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1576215609_100864_12.jpg?gif=1&w=480&h=480&c=c
26,table,747968,미떼 레이어드 거실테이블 세트A (1200+460) 2colors,"219,000원",https://ohou.se/productions/747968/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161596921804342427.jpg?gif=1&w=480&h=480&c=c
27,table,127572,[7%쿠폰] 클린트 피코 리프트업 소파테이블 플랩도어형 105cm,"299,000원",https://ohou.se/productions/127572/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1559220950494_0r1lp79.jpg?gif=1&w=480&h=480&c=c
28,table,191340,리엔 선반수납 거실테이블 소파테이블 5colors,"60,500원",https://ohou.se/productions/191340/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157164253130852395.jpg?gif=1&w=480&h=480&c=c
29,table,203149,[10%쿠폰] 후아 리프트업 테이블 2colors,"164,000원",https://ohou.se/productions/203149/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157370532362720396.jpg?gif=1&w=480&h=480&c=c
30,table,90100,GLABO 사이드테이블 4040 대나무 3colors,"29,900원",https://ohou.se/productions/90100/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/1549592791080_CRudwOH8mN.jpg?gif=1&w=480&h=480&c=c
31,table,387738,순수원목 D테이블 접이식 거실테이블 2colors,"40,900원",https://ohou.se/productions/387738/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159589285998822773.jpg?gif=1&w=480&h=480&c=c
32,table,443227,스마트 리프트업 거실테이블 800/1200,"67,900원",https://ohou.se/productions/443227/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159702134544168342.jpg?gif=1&w=480&h=480&c=c
33,table,957346,메탈테이블 유리 원형테이블 800mm,"64,000원",https://ohou.se/productions/957346/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162812332997095455.jpg?gif=1&w=480&h=480&c=c
34,table,208652,[7%쿠폰] NEW 클린트 모던 사이드테이블 4colors,"61,000원",https://ohou.se/productions/208652/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/157483374410717554.jpg?gif=1&w=480&h=480&c=c
35,table,857866,모듈가구 007 9colors,"61,900원",https://ohou.se/productions/857866/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162503815855768395.JPG?gif=1&w=480&h=480&c=c
36,table,293105,onion 베이 소파 사이드테이블 2colors,"37,674원",https://ohou.se/productions/293105/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159134107050757623.jpg?gif=1&w=480&h=480&c=c
37,table,322941,노르마니 레그 거실테이블,"75,000원",https://ohou.se/productions/322941/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/159039318235724183.jpg?gif=1&w=480&h=480&c=c
38,table,832614,헤르만 세라믹 메인테이블 A,"300,000원",https://ohou.se/productions/832614/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162096137247633307.jpg?gif=1&w=480&h=480&c=c
39,table,338748,망고 원목 접이식 거실테이블 4종,"45,900원",https://ohou.se/productions/338748/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/162217429557991263.jpg?gif=1&w=480&h=480&c=c
40,table,226635,마리 원형 원목 소파테이블 3color,"198,000원",https://ohou.se/productions/226635/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/161371231672577409.jpg?gif=1&w=480&h=480&c=c
